row_id,내용,상세내용,주장/검증매체
40,기시다 오염수 방류 시기 22일 최종 결정오늘 후쿠시마 방문,"['통신', '이해', '정부', '관계', '후쿠시마', '일본', '보도', '방류', '어업', '대통령', '과제', '오염수', '설비', '진행', '회의', '원전', '방문', '총리']",뉴스1
41,중러 일본에 오염수 해양 방류 대신 수증기 방출 검토 요청,"['통신', '디자이너', '정부', '후쿠시마', '계획', '일본', '대기', '해양', '방안', '검토', '요구', '방출', '뉴스', '선택']",뉴스1
42,8월 18일은 쌀의 날 쌀가공식품으로 쌀의 추락 막는다,"['세계', '한국', '건강', '가정', '성장', '지원', '시장', '소비', '편의점', '확대', '가공', '정부', '수출', '연간', '식품', '부터', '국내', '인증', '지난해']",농민신문
43,가루쌀 빵 맛보러 빵지순례 떠나볼까유명빵집 19곳 참여,"['전국', '방지', '매장', '개최', '행사', '부터', '식품', '가루', '농식품부']",뉴시스
44,밀가루 대안 가루쌀 민관 힘 합쳐 식량 난제 해결할 것,"['개선', '작물', '해결', '문제', '재배', '체계', '활성화', '추진', '개발', '가루', '안보', '목표', '성과', '보급', '구성', '산업', '역할', '기획', '업무', '연구개발', '민간', '성공', '지원', '변화', '전문가', '과제', '기술', '전략', '관리', '올해', '정책', '기후변화', '소비', '혁신', '구축', '식량', '수행', '청장', '육성', '현장', '확대', '프로젝트', '가공', '교육', '분야', '기존', '협업', '향상', '중심', '사업', '연구', '협력', '계획', '안정', '현안', '시대', '농업', '확산', '기반', '생산', '협의', '지난해']",동아일보
45,카트 X 장바구니 들자 암심장병 위험장수비결 빌파는 무엇,"['운동', '사람', '효과', '시간', '건강', '위험', '실천', '감소', '활동', '최대', '방법', '하루', '분석']",머니투데이
46,리플 하루 새 16퍼센트주요 코인 줄줄이 하락세,"['가능성', '비트코인', '인상', '하락', '기록', '파이', '자산', '가상', '일주일', '국채', '일제', '리플', '추가', '코인', '수익률']",부산일보
47,미리 사놓을 걸의외로 잘 모르는 달러 투자 외화예금편 김보미의 머니뭐니,"['상품', '미만', '만기', '지급', '금리', '기준', '원리금', '이상', '보호', '적금', '원금', '원화', '보험금', '수준', '통장', '경우', '시점', '달러화', '이자', '은행', '금액', '예금', '입출금', '환율']",한국경제TV
48,새마을금고 사태 잔불 여전당국 고금리 예금 주시연체율 관리 강화,"['금고', '집중', '상품', '지역', '금융', '만기', '우려', '금리', '서울', '지원', '실무', '건전성', '관리', '모니터링', '조치', '새마을금고', '유동성', '중앙회', '확대', '판매', '원단', '예금', '대응', '최근', '당국']",뉴스1
49,새마을금고 사태 잔불 여전당국 고금리 예금 주시연체율 관리 강화,"['금고', '집중', '상품', '지역', '금융', '만기', '우려', '금리', '서울', '지원', '실무', '건전성', '관리', '모니터링', '조치', '새마을금고', '유동성', '중앙회', '확대', '판매', '원단', '예금', '대응', '최근', '당국']",뉴스1
50,주 52시간 넘게 일하고 근로 시간 불규칙근골격계 통증 위험 3배 높아,"['시간', '환경', '통증', '연구', '결과', '위험', '장시간', '이번', '근로', '이상', '교수']",한국일보
51,주 52시간 넘게 일하고 근로 시간 불규칙근골격계 통증 3배 ,"['시간', '환경', '통증', '연구', '결과', '위험', '장시간', '이번', '근로', '이상', '교수']",국민일보
52,6개 도시철도공사 지난해 13조 순손실요금 낮고 무임수송,"['교통', '상승', '공사', '개발', '철도공사', '분석', '도시', '도시철도', '감소', '수도', '순이익', '요금', '공기업', '발생', '지방', '수송', '사업', '부채', '지난해', '원가', '원인', '손실', '행안부', '증가']",조선비즈
53,기다리다 땀난다서울 지하철역 5곳 중 1곳은 냉방시설 없다,"['호선', '적자', '교통', '확보', '지하철', '공사', '온도', '서울', '기준', '예산', '고객', '서울시', '폭염', '설치', '시설', '역사', '모델링', '가량', '차이', '민원', '지하', '냉방', '손실', '실내']",이데일리
54,경사노위 한국노총에 복귀 촉구계속고용 논의,"['사회', '중단', '한국', '고용', '대화', '관련', '노총', '정년', '사정', '연장', '논의']",서울신문
55,민주노총 이주노동자 여전히 강제노동 처해ILO에 위반 보고서 제출,"['노동', '사업', '강제', '위원장', '협약', '민주', '임금', '노총', '이동', '정부', '자유', '노동자', '변경']",노컷뉴스
56,전공노 안동시청 공무원 노조 탈퇴 추진하자 지부장 권한 정지로 보복,"['예정', '조합원', '노총', '추진', '탈퇴', '행위', '이유', '전체', '조직', '정치', '투쟁', '총회', '실시', '부장', '공무원', '임시', '민주', '권한', '정지', '투표']",조선일보
57,자동차세 연납 할인폭 축소 하반기에 재검토,"['도입', '사상', '설명', '최근', '납부', '홍보', '상대', '문제', '축소', '한국', '한국은행', '대통령', '금융', '보도자료', '결정', '차례', '체납', '자동차', '금리', '포인트', '기준', '일보', '기간', '신설', '세수', '납세', '감소', '서울시', '국민', '실제', '올해', '시기', '세법', '코로나', '세금', '효과', '기준금리', '내용', '수준', '지방세', '지방', '이후', '행정안전부', '정부', '처음', '통계', '제도', '안내', '인상', '당시', '자료', '할인', '징수', '시행', '상황', '불만', '시민', '부터', '고지서', '내년', '혜택', '행안부', '차량', '지자체', '지난해', '관계자']",한국일보
58,파주시 자동차세 연납 할인율 하향조정 안될 말,"['개선', '조정', '할인', '상황', '금리', '부터', '하향', '서민', '제도']",뉴스1
59,부산시민 부담 커질 듯택시 이어 버스도시철도 요금도 인상,"['시내버스', '인상', '위원회', '요금', '조정', '교통카드', '시행', '부담', '시민', '이후', '추가', '적용', '부산', '도시철도']",서울경제
60,월급 그대로라 점심값도 부담인데 서울 버스요금 인상에 울상 사사건건,"['인상', '요금', '버스', '거리', '서울', '시민', '직장인', '정도']",세계일보
